Angle (rad) Run #1,Light Intensity, Ch 1 (lx) Run #1
0,1381.
0,1434.
0,1362.
0,1416.
0,1401.
0,1432.
0,1390.
0,1442.
0,1441.
0,1441.
0,1505.
0,1531.
0,1628.
0.017,1678
0.017,1731
0.017,1774
0.017,1890
0.017,1944
0.035,2047
0.035,2110
0.035,2118
0.035,2130
0.052,2104
0.052,2064
0.052,1957
0.052,1919
0.052,1855
0.052,1824
0.052,1750
0.052,1701
0.07,1623
0.07,1585
0.07,1524
0.07,1519
0.07,1465
0.07,1455
0.07,1434
0.07,1400
0.07,1392
0.087,1366
0.087,1341
0.087,1319
0.087,1306
0.087,1286
0.087,1297
0.087,1305
0.087,1305
0.105,1297
0.105,1311
0.105,1310
0.105,1282
0.105,1269
0.105,1256
0.122,1234
0.122,1210
0.122,1217
0.122,1211
0.122,1209
0.122,1186
0.122,1195
0.14,1190
0.14,1201
0.14,1179
0.14,1188
0.14,1182
0.14,1179
0.14,1177
0.14,1187
0.157,1185
0.157,1192
0.157,1181
0.157,1176
0.157,1188
0.157,1202
0.157,1198
0.157,1220
0.157,1236
0.157,1242
0.175,1237
0.175,1250
0.175,1258
0.175,1251
0.175,1257
0.175,1257
0.175,1235
0.175,1237
0.175,1231
0.175,1230
0.175,1211
0.192,1200
0.192,1191
0.192,1193
0.192,1181
0.192,1167
0.192,1174
0.192,1173
0.209,1179
0.209,1208
0.209,1192
0.209,1172
0.209,1169
0.227,1155
0.227,1146
0.227,1157
0.227,1081
0.244,1076
0.244,1072
0.244,1043
0.244,1054
0.244,1015
0.244,989
0.262,976
0.262,976
0.262,977
0.262,985
0.262,964
0.262,944
0.262,924
0.262,918
0.279,917
0.279,913
0.279,900
0.279,895
0.279,889
0.279,885
0.279,908
0.279,931
0.279,928
0.279,896
0.279,886
0.279,868
0.297,839
0.297,841
0.297,852
0.297,849
0.297,822
0.297,813
0.297,811
0.297,795
0.297,806
0.297,803
0.314,782
0.314,769
0.314,765
0.314,771
0.314,787
0.314,770
0.314,775
0.314,773
0.332,775
0.332,775
0.332,784
0.332,779
0.332,775
0.332,767
0.332,771
0.332,759
0.332,735
0.332,735
0.349,723
0.349,723
0.349,731
0.349,730
0.349,722
0.349,723
0.349,715
0.367,707
0.367,713
0.367,703
0.367,697
0.367,703
0.367,696
0.367,694
0.384,693
0.384,702
0.384,730
0.384,734
0.384,722
0.384,712
0.384,700
0.384,705
0.384,734
0.384,699
0.401,709
0.401,708
0.401,691
0.401,689
0.401,689
0.401,677
0.401,682
0.401,668
0.419,670
0.419,665
0.419,673
0.419,670
0.419,670
0.419,686
0.419,678
0.419,693
0.419,686
0.436,694
0.436,691
0.436,698
0.436,691
0.436,699
0.436,689
0.436,694
0.436,693
0.436,706
0.436,714
0.436,716
0.454,719
0.454,719
0.454,725
0.454,727
0.454,734
0.454,731
0.454,741
0.454,740
0.454,741
0.454,742
0.454,751
0.454,756
0.454,758
0.471,767
0.471,766
0.471,780
0.471,785
0.471,793
0.471,795
0.471,807
0.471,803
0.471,803
0.489,818
0.489,823
0.489,830
0.489,833
0.489,839
0.489,842
0.489,850
0.489,853
0.489,873
0.489,862
0.506,868
0.506,864
0.506,875
0.506,872
0.506,893
0.506,884
0.506,903
0.506,897
0.506,914
0.506,901
0.524,923
0.524,916
0.524,930
0.524,925
0.524,940
0.524,935
0.524,942
0.524,941
0.524,950
0.524,949
0.524,962
0.524,960
0.541,965
0.541,970
0.541,971
0.541,978
0.541,979
0.541,979
0.541,987
0.541,985
0.541,992
0.541,984
0.541,989
0.541,988
0.559,1001
0.559,995
0.559,1010
0.559,999
0.559,1013
0.559,1012
0.559,1028
0.559,1027
0.559,1045
0.559,1039
0.559,1040
0.559,1026
0.559,1032
0.559,1043
0.559,1027
0.559,1040
0.576,1036
0.576,1041
0.576,1028
0.576,1041
0.576,1042
0.576,1063
0.576,1056
0.576,1048
0.576,1036
0.576,1049
0.576,1047
0.576,1059
0.576,1059
0.576,1071
0.576,1071
0.576,1052
0.576,1062
0.576,1054
0.576,1077
0.576,1061
0.593,1078
0.593,1060
0.593,1078
0.593,1064
0.593,1083
0.593,1066
0.593,1071
0.593,1070
0.593,1119
0.593,1033
0.593,1062
0.593,1024
0.593,1069
0.593,1019
0.593,1049
0.593,1015
0.611,1046
0.611,1015
0.611,1030
0.611,1024
0.611,1024
0.611,1025
0.611,1017
0.611,1030
0.611,1026
